impl,np,road_length,density,repetition,wall_time_ms,avg_velocity
traffic_mpi_opt,4,64000,0.50,2,942.012,0.993227
traffic_mpi,4,500000,0.50,2,1380.077,0.988920
traffic_mpi_opt,4,500000,0.50,2,963.724,0.990936
traffic_mpi,4,2000000,0.50,2,4068.101,0.988823
traffic_mpi_opt,4,2000000,0.50,2,1728.439,0.989959
traffic_mpi,4,5000000,0.50,2,9438.297,0.990251
traffic_mpi_opt,4,5000000,0.50,2,3572.181,0.990230
traffic_mpi,4,10000000,0.50,2,18428.357,0.991176
traffic_mpi_opt,4,10000000,0.50,2,6868.866,0.990154
traffic_mpi,5,8000,0.50,2,1019.898,0.965557
traffic_mpi_opt,5,8000,0.50,2,1016.487,0.977948
traffic_mpi,5,64000,0.50,2,991.821,0.990710
traffic_mpi_opt,5,64000,0.50,2,1013.978,0.981793
traffic_mpi,5,500000,0.50,2,1330.003,0.990793
traffic_mpi_opt,5,500000,0.50,2,1052.875,0.988611
traffic_mpi,5,2000000,0.50,2,3497.276,0.989509
traffic_mpi_opt,5,2000000,0.50,2,1596.705,0.989731
traffic_mpi,5,5000000,0.50,2,7818.868,0.988835
traffic_mpi_opt,5,5000000,0.50,2,3107.688,0.989579
traffic_mpi,5,10000000,0.50,2,15082.447,0.989711
traffic_mpi_opt,5,10000000,0.50,2,5539.258,0.990980
traffic_mpi,6,8000,0.50,2,972.347,0.976971
traffic_mpi_opt,6,8000,0.50,2,971.049,0.953656
traffic_mpi,6,64000,0.50,2,955.226,0.990849
traffic_mpi_opt,6,64000,0.50,2,973.255,0.994054
traffic_mpi,6,500000,0.50,2,1248.860,0.991679
traffic_mpi_opt,6,500000,0.50,2,1016.061,0.987176
traffic_mpi,6,2000000,0.50,2,2959.185,0.989248
traffic_mpi_opt,6,2000000,0.50,2,1413.191,0.989539
traffic_mpi,6,5000000,0.50,2,6388.646,0.990918
traffic_mpi_opt,6,5000000,0.50,2,2600.532,0.989506
traffic_mpi,6,10000000,0.50,2,12446.097,0.990131
traffic_mpi_opt,6,10000000,0.50,2,4585.937,0.989678
traffic_mpi_opt,2,20000000,0.10,2,25461.267,1.000000
traffic_mpi_opt,2,20000000,0.30,2,25122.060,1.000000
traffic_mpi_opt,2,20000000,0.50,2,25122.200,0.989803
traffic_mpi_opt,2,20000000,0.70,2,25137.010,0.428511
traffic_mpi_opt,2,20000000,0.90,2,24744.649,0.111007
traffic_mpi_opt,3,20000000,0.10,2,17106.477,1.000000
traffic_mpi_opt,3,20000000,0.30,2,17042.113,1.000000
traffic_mpi_opt,3,20000000,0.50,2,17102.760,0.990443
traffic_mpi_opt,3,20000000,0.70,2,17170.614,0.428528
traffic_mpi_opt,3,20000000,0.90,2,17167.845,0.111060
traffic_mpi_opt,4,20000000,0.10,2,12787.494,1.000000
traffic_mpi_opt,4,20000000,0.30,2,12811.295,1.000000
traffic_mpi_opt,4,20000000,0.50,2,13007.290,0.990094
traffic_mpi_opt,4,20000000,0.70,2,12757.167,0.428408
traffic_mpi_opt,4,20000000,0.90,2,13103.752,0.111154
traffic_mpi,2,8000,0.50,3,29.098,0.983430
traffic_mpi_opt,2,8000,0.50,3,11.644,0.997508
traffic_mpi,2,64000,0.50,3,223.345,0.980503
traffic_mpi_opt,2,64000,0.50,3,80.076,0.989821
traffic_mpi,2,500000,0.50,3,1756.268,0.988014
traffic_mpi_opt,2,500000,0.50,3,645.895,0.988833
traffic_mpi,2,2000000,0.50,3,7153.642,0.990225
traffic_mpi_opt,2,2000000,0.50,3,2498.567,0.989524
traffic_mpi,2,5000000,0.50,3,17414.119,0.989184
traffic_mpi_opt,2,5000000,0.50,3,6358.649,0.989645
traffic_mpi,2,10000000,0.50,3,34726.192,0.989569
traffic_mpi_opt,2,10000000,0.50,3,12863.229,0.989662
traffic_mpi,3,8000,0.50,3,931.387,0.992560
traffic_mpi_opt,3,8000,0.50,3,939.616,0.998395
traffic_mpi,3,64000,0.50,3,927.710,0.984758
traffic_mpi_opt,3,64000,0.50,3,925.818,0.982595
traffic_mpi,3,500000,0.50,3,1365.419,0.987890
traffic_mpi_opt,3,500000,0.50,3,930.060,0.989106
traffic_mpi,3,2000000,0.50,3,4772.398,0.989350
traffic_mpi_opt,3,2000000,0.50,3,2155.047,0.990159
traffic_mpi,3,5000000,0.50,3,11577.951,0.990890
traffic_mpi_opt,3,5000000,0.50,3,4627.835,0.989533
traffic_mpi,3,10000000,0.50,3,23179.913,0.989989
traffic_mpi_opt,3,10000000,0.50,3,8777.998,0.990603
traffic_mpi,4,8000,0.50,3,939.999,0.975643
traffic_mpi_opt,4,8000,0.50,3,942.594,0.985409
traffic_mpi,4,64000,0.50,3,937.907,0.990291
traffic_mpi_opt,4,64000,0.50,3,956.074,0.980942
traffic_mpi,4,500000,0.50,3,1367.850,0.987865
traffic_mpi_opt,4,500000,0.50,3,932.004,0.989898
traffic_mpi,4,2000000,0.50,3,4044.287,0.991494
traffic_mpi_opt,4,2000000,0.50,3,1732.161,0.991119
traffic_mpi,4,5000000,0.50,3,9414.034,0.991026
traffic_mpi_opt,4,5000000,0.50,3,3557.735,0.989764
traffic_mpi,4,10000000,0.50,3,18349.237,0.989483
traffic_mpi_opt,4,10000000,0.50,3,6626.775,0.990103
traffic_mpi,5,8000,0.50,3,990.272,0.992516
traffic_mpi_opt,5,8000,0.50,3,978.824,0.997216
traffic_mpi,5,64000,0.50,3,978.367,0.989265
traffic_mpi_opt,5,64000,0.50,3,1012.784,0.980924
traffic_mpi,5,500000,0.50,3,1325.810,0.988855
traffic_mpi_opt,5,500000,0.50,3,1045.237,0.989591
traffic_mpi,5,2000000,0.50,3,3484.604,0.989837
traffic_mpi_opt,5,2000000,0.50,3,1594.903,0.989261
traffic_mpi,5,5000000,0.50,3,7772.072,0.989790
traffic_mpi_opt,5,5000000,0.50,3,3074.568,0.989984
traffic_mpi,5,10000000,0.50,3,15067.056,0.990159
traffic_mpi_opt,5,10000000,0.50,3,5546.669,0.990129
traffic_mpi,6,8000,0.50,3,975.875,0.997512
traffic_mpi_opt,6,8000,0.50,3,975.960,1.000000
traffic_mpi,6,64000,0.50,3,974.643,0.992602
traffic_mpi_opt,6,64000,0.50,3,982.505,0.986296
